Participant,Slope_Happy,Slope_Neutral,Slope_Sad
sub044,-0.00240858853794634,-0.00126446865033358,-0.00351895694620907
sub045,-0.00161069782916456,-0.00428600376471877,-0.00391390640288591
sub046,8.12894213595428e-05,-0.000698989955708385,-0.00129443686455488
sub047,-0.00406854506582022,0.00567962788045406,-0.00199449481442571
sub049,-0.000742706994060427,-0.00150092877447605,0.00143821630626917
sub051,0.000485816563013941,-0.00234938180074096,-0.00248680613003671
sub052,0.00108106562402099,0.000343650986906141,0.000806853815447539
sub053,-9.92154164123349e-05,-0.00223702704533935,-0.00277391751296818
sub054,0.00169890583492815,-0.000835572776850313,0.00215404038317502
sub056,-0.00462995050475001,-0.00255229626782238,-0.004327692091465
sub057,0.00139915896579623,-0.000643771083559841,-0.0033960456494242
sub059,0.000427702761953697,-0.0028963559307158,-0.00237887818366289
sub062,0.00196724128909409,-0.00405681040138006,0.000659739191178232
sub064,0.0003247459535487,0.00019435619469732,-0.000926081032957882
sub065,-0.00218267203308642,0.000609267852269113,0.00122311979066581
sub066,-0.00247912062332034,0.00106564594898373,-0.0020013190805912
sub068,0.00193765049334615,-0.000620535516645759,0.000104585393273737
sub069,0.000176427027327009,-0.000644132145680487,0.000912269402761012
sub070,-0.0018933096434921,0.00114898849278688,-0.000166150144650601
sub071,0.0003195992030669,0.000452986045274884,0.00166655506473035
sub072,-0.0014477577060461,-0.000704544130712748,-0.000296177342534065
sub073,-0.00138242146931589,-0.00211357022635639,-0.0014892810722813
sub074,-0.000993455294519663,-7.6359290687833e-05,-0.000985318794846535
sub075,-0.000746201490983367,-0.00103733548894525,0.000286587048321962
sub076,0.000808345095720142,0.000624318316113204,-0.000523641298059374
sub077,0.00011189584620297,0.000675480463542044,0.000376010400941595
sub078,0.000486076751258224,0.000731837062630802,0.000624308828264475
sub079,-0.00019479141337797,-0.00099609571043402,0.000420912547269836
sub081,0.00249590561725199,-0.00127131585031748,-0.00451446045190096
sub082,-0.00107394275255501,-0.00157080020289868,-0.000984401092864573
sub083,0.000177381909452379,-0.00178021739702672,0.00108210486359894
sub084,-0.00313047412782907,-0.000882286345586181,-0.00366816972382367
sub085,-0.00492286588996649,0.000270822230959311,-0.00192779500503093
sub086,0.000846759241539985,-0.000914554984774441,0.000462121737655252
sub088,0.000626978697255254,-0.00121649971697479,0.00175367610063404
sub089,-0.00329383462667465,-0.000252586498390883,-0.00359850050881505
sub090,-0.000439941009972245,-0.00128336588386446,-0.000614008051343262
sub091,0.000171109655639157,-0.000709592830389738,0.000985449063591659
sub093,0.000197621411643922,-0.0018090590601787,0.000320763589115813
sub094,0.00100138958077878,-8.00899288151413e-05,-0.000351516675436869
sub096,-0.00371060846373439,-0.00305299577303231,-0.00125867361202836
sub097,0.00160672480706125,0.000575417827349156,0.00011679688032018
sub098,-0.00297141587361693,0.00220537418499589,-0.000942156068049371
sub099,0.000175471897819079,-0.00296928943134844,-2.00620415853336e-05
sub100,-0.00121694162953645,6.63837199681439e-05,0.00036729229032062
sub101,-0.000308587914332747,-0.000240735898842104,0.000820883316919208
sub102,-0.00247386307455599,-0.00496140820905566,-0.00362675124779344
sub103,-0.0012062075547874,-6.95711787557229e-05,-0.000902658153790981
sub104,0.00138016522396356,0.00133761076722294,-0.00272975792177022
sub105,-0.000869008305016905,0.000525087874848396,0.000679643184412271
sub106,-0.00290272478014231,-0.00256979162804782,-0.00466290162876248
sub107,-0.000508913828525692,0.000389719672966748,-0.00262333429418504
sub108,-0.000674354960210621,-0.00186930934432894,0.000187467798241414
sub109,-0.000645456602796912,-0.000339109363267198,-0.00145014841109514
sub110,3.32412237185054e-05,-0.000418439391069114,0.000283445871900767
sub111,-0.00110980751924217,-0.000724833400454372,-0.000278762076050043
sub112,3.02841090160655e-05,-0.000264613190665841,-0.000996463466435671
sub113,0.00125363504048437,0.0012484829640016,-0.00267577986232936
sub114,-0.0012857016408816,-0.000553818186745048,-0.000651837093755603
sub115,-0.00308785052038729,-0.00550905568525195,-0.00184338830877095
sub116,0.0020137473475188,4.37461712863296e-05,0.00238531804643571
sub117,-0.00111656612716615,0.0015541035681963,0.000568748160731047
sub118,0.00233189854770899,0.000753962667658925,0.000446360558271408
sub120,0.000900379847735167,-0.000780971313361079,-0.00240475730970502
sub122,0.000260590924881399,-0.000520948378834873,-0.000775830005295575
sub123,-0.00353578454814851,4.11098117183428e-05,-0.00132739322725683
sub124,0.00147700856905431,0.00028536087484099,-0.00200238870456815
sub125,0.000768474012147635,-0.00143719103652984,-0.00127870147116482
sub126,-0.00244258367456496,0.00217027845792472,0.00200524856336415
sub127,0.00143017480149865,-0.00191523786634207,-0.000545129470992833
sub128,0.000313989061396569,-0.00696290656924248,-0.001493971911259
sub129,-0.000995049369521439,-0.000483225419884548,-0.00222817901521921
sub130,0.000947178807109594,-0.00199685501866043,0.000488458026666194
sub131,-0.00139947014395148,-1.58356306201313e-05,-0.00197038939222693
