Participant;Slope;Emotion
sub064;0.000324746;Happy
sub064;-0.000926081;Sad
sub064;0.000194356;Neutral
sub065;-0.002182672;Happy
sub065;0.00122312;Sad
sub065;0.000609268;Neutral
sub065;-0.002182672;Happy
sub065;0.00122312;Sad
sub065;0.000609268;Neutral
sub066;-0.002479121;Happy
sub066;-0.002001319;Sad
sub066;0.001065646;Neutral
sub066;-0.002479121;Happy
sub066;-0.002001319;Sad
sub066;0.001065646;Neutral
sub068;0.00193765;Happy
sub068;0.000104585;Sad
sub068;-0.000620536;Neutral
sub068;0.00193765;Happy
sub068;0.000104585;Sad
sub068;-0.000620536;Neutral
sub069;0.000176427;Happy
sub069;0.000912269;Sad
sub069;-0.000644132;Neutral
sub069;0.000176427;Happy
sub069;0.000912269;Sad
sub069;-0.000644132;Neutral
sub070;-0.00189331;Happy
sub070;-0.00016615;Sad
sub070;0.001148988;Neutral
sub070;-0.00189331;Happy
sub070;-0.00016615;Sad
sub070;0.001148988;Neutral
sub071;0.000319599;Happy
sub071;0.001666555;Sad
sub071;0.000452986;Neutral
sub071;0.000319599;Happy
sub071;0.001666555;Sad
sub071;0.000452986;Neutral
sub072;-0.001447758;Happy
sub072;-0.000296177;Sad
sub072;-0.000704544;Neutral
sub072;-0.001447758;Happy
sub072;-0.000296177;Sad
sub072;-0.000704544;Neutral
sub073;-0.001382421;Happy
sub073;-0.001489281;Sad
sub073;-0.00211357;Neutral
sub073;-0.001382421;Happy
sub073;-0.001489281;Sad
sub073;-0.00211357;Neutral
sub074;-0.000993455;Happy
sub074;-0.000985319;Sad
sub074;-7.64E-05;Neutral
sub074;-0.000993455;Happy
sub074;-0.000985319;Sad
sub074;-7.64E-05;Neutral
sub075;-0.000746201;Happy
sub075;0.000286587;Sad
sub075;-0.001037335;Neutral
sub075;-0.000746201;Happy
sub075;0.000286587;Sad
sub075;-0.001037335;Neutral
sub076;0.000808345;Happy
sub076;-0.000523641;Sad
sub076;0.000624318;Neutral
sub076;0.000808345;Happy
sub076;-0.000523641;Sad
sub076;0.000624318;Neutral
sub077;0.000111896;Happy
sub077;0.00037601;Sad
sub077;0.00067548;Neutral
sub077;0.000111896;Happy
sub077;0.00037601;Sad
sub077;0.00067548;Neutral
sub078;0.000486077;Happy
sub078;0.000624309;Sad
sub078;0.000731837;Neutral
sub078;0.000486077;Happy
sub078;0.000624309;Sad
sub078;0.000731837;Neutral
sub079;-0.000194791;Happy
sub079;0.000420913;Sad
sub079;-0.000996096;Neutral
sub079;-0.000194791;Happy
sub079;0.000420913;Sad
sub079;-0.000996096;Neutral
sub081;0.002495906;Happy
sub081;-0.00451446;Sad
sub081;-0.001271316;Neutral
sub081;0.002495906;Happy
sub081;-0.00451446;Sad
sub081;-0.001271316;Neutral
sub082;-0.001073943;Happy
sub082;-0.000984401;Sad
sub082;-0.0015708;Neutral
sub082;-0.001073943;Happy
sub082;-0.000984401;Sad
sub082;-0.0015708;Neutral
sub083;0.000177382;Happy
sub083;0.001082105;Sad
sub083;-0.001780217;Neutral
sub083;0.000177382;Happy
sub083;0.001082105;Sad
sub083;-0.001780217;Neutral
sub084;-0.003130474;Happy
sub084;-0.00366817;Sad
sub084;-0.000882286;Neutral
sub084;-0.003130474;Happy
sub084;-0.00366817;Sad
sub084;-0.000882286;Neutral
sub085;-0.004922866;Happy
sub085;-0.001927795;Sad
sub085;0.000270822;Neutral
sub085;-0.004922866;Happy
sub085;-0.001927795;Sad
sub085;0.000270822;Neutral
sub086;0.000846759;Happy
sub086;0.000462122;Sad
sub086;-0.000914555;Neutral
sub086;0.000846759;Happy
sub086;0.000462122;Sad
sub086;-0.000914555;Neutral
sub088;0.000626979;Happy
sub088;0.001753676;Sad
sub088;-0.0012165;Neutral
sub088;0.000626979;Happy
sub088;0.001753676;Sad
sub088;-0.0012165;Neutral
sub089;-0.003293835;Happy
sub089;-0.003598501;Sad
sub089;-0.000252586;Neutral
sub089;-0.003293835;Happy
sub089;-0.003598501;Sad
sub089;-0.000252586;Neutral
sub090;-0.000439941;Happy
sub090;-0.000614008;Sad
sub090;-0.001283366;Neutral
sub090;-0.000439941;Happy
sub090;-0.000614008;Sad
sub090;-0.001283366;Neutral
sub091;0.00017111;Happy
sub091;0.000985449;Sad
sub091;-0.000709593;Neutral
sub091;0.00017111;Happy
sub091;0.000985449;Sad
sub091;-0.000709593;Neutral
sub093;0.000197621;Happy
sub093;0.000320764;Sad
sub093;-0.001809059;Neutral
sub093;0.000197621;Happy
sub093;0.000320764;Sad
sub093;-0.001809059;Neutral
sub094;0.00100139;Happy
sub094;-0.000351517;Sad
sub094;-8.01E-05;Neutral
sub094;0.00100139;Happy
sub094;-0.000351517;Sad
sub094;-8.01E-05;Neutral
sub096;-0.003710608;Happy
sub096;-0.001258674;Sad
sub096;-0.003052996;Neutral
sub096;-0.003710608;Happy
sub096;-0.001258674;Sad
sub096;-0.003052996;Neutral
sub097;0.001606725;Happy
sub097;0.000116797;Sad
sub097;0.000575418;Neutral
sub097;0.001606725;Happy
sub097;0.000116797;Sad
sub097;0.000575418;Neutral
sub098;-0.002971416;Happy
sub098;-0.000942156;Sad
sub098;0.002205374;Neutral
sub098;-0.002971416;Happy
sub098;-0.000942156;Sad
sub098;0.002205374;Neutral
sub099;0.000175472;Happy
sub099;-2.01E-05;Sad
sub099;-0.002969289;Neutral
sub099;0.000175472;Happy
sub099;-2.01E-05;Sad
sub099;-0.002969289;Neutral
sub100;-0.001216942;Happy
sub100;0.000367292;Sad
sub100;6.64E-05;Neutral
sub100;-0.001216942;Happy
sub100;0.000367292;Sad
sub100;6.64E-05;Neutral
sub101;-0.000308588;Happy
sub101;0.000820883;Sad
sub101;-0.000240736;Neutral
sub101;-0.000308588;Happy
sub101;0.000820883;Sad
sub101;-0.000240736;Neutral
sub102;-0.002473863;Happy
sub102;-0.003626751;Sad
sub102;-0.004961408;Neutral
sub102;-0.002473863;Happy
sub102;-0.003626751;Sad
sub102;-0.004961408;Neutral
sub103;-0.001206208;Happy
sub103;-0.000902658;Sad
sub103;-6.96E-05;Neutral
sub103;-0.001206208;Happy
sub103;-0.000902658;Sad
sub103;-6.96E-05;Neutral
sub104;0.001380165;Happy
sub104;-0.002729758;Sad
sub104;0.001337611;Neutral
sub104;0.001380165;Happy
sub104;-0.002729758;Sad
sub104;0.001337611;Neutral
sub105;-0.000869008;Happy
sub105;0.000679643;Sad
sub105;0.000525088;Neutral
sub105;-0.000869008;Happy
sub105;0.000679643;Sad
sub105;0.000525088;Neutral
sub106;-0.002902725;Happy
sub106;-0.004662902;Sad
sub106;-0.002569792;Neutral
sub106;-0.002902725;Happy
sub106;-0.004662902;Sad
sub106;-0.002569792;Neutral
sub107;-0.000508914;Happy
sub107;-0.002623334;Sad
sub107;0.00038972;Neutral
sub107;-0.000508914;Happy
sub107;-0.002623334;Sad
sub107;0.00038972;Neutral
sub108;-0.000674355;Happy
sub108;0.000187468;Sad
sub108;-0.001869309;Neutral
sub108;-0.000674355;Happy
sub108;0.000187468;Sad
sub108;-0.001869309;Neutral
sub109;-0.000645457;Happy
sub109;-0.001450148;Sad
sub109;-0.000339109;Neutral
sub109;-0.000645457;Happy
sub109;-0.001450148;Sad
sub109;-0.000339109;Neutral
sub110;3.32E-05;Happy
sub110;0.000283446;Sad
sub110;-0.000418439;Neutral
sub110;3.32E-05;Happy
sub110;0.000283446;Sad
sub110;-0.000418439;Neutral
sub111;-0.001109808;Happy
sub111;-0.000278762;Sad
sub111;-0.000724833;Neutral
sub111;-0.001109808;Happy
sub111;-0.000278762;Sad
sub111;-0.000724833;Neutral
sub112;3.03E-05;Happy
sub112;-0.000996463;Sad
sub112;-0.000264613;Neutral
sub112;3.03E-05;Happy
sub112;-0.000996463;Sad
sub112;-0.000264613;Neutral
sub113;0.001253635;Happy
sub113;-0.00267578;Sad
sub113;0.001248483;Neutral
sub113;0.001253635;Happy
sub113;-0.00267578;Sad
sub113;0.001248483;Neutral
sub114;-0.001285702;Happy
sub114;-0.000651837;Sad
sub114;-0.000553818;Neutral
sub114;-0.001285702;Happy
sub114;-0.000651837;Sad
sub114;-0.000553818;Neutral
sub115;-0.003087851;Happy
sub115;-0.001843388;Sad
sub115;-0.005509056;Neutral
sub115;-0.003087851;Happy
sub115;-0.001843388;Sad
sub115;-0.005509056;Neutral
sub116;0.002013747;Happy
sub116;0.002385318;Sad
sub116;4.37E-05;Neutral
sub116;0.002013747;Happy
sub116;0.002385318;Sad
sub116;4.37E-05;Neutral
sub117;-0.001116566;Happy
sub117;0.000568748;Sad
sub117;0.001554104;Neutral
sub117;-0.001116566;Happy
sub117;0.000568748;Sad
sub117;0.001554104;Neutral
sub118;0.002331899;Happy
sub118;0.000446361;Sad
sub118;0.000753963;Neutral
sub118;0.002331899;Happy
sub118;0.000446361;Sad
sub118;0.000753963;Neutral
sub120;0.00090038;Happy
sub120;-0.002404757;Sad
sub120;-0.000780971;Neutral
sub120;0.00090038;Happy
sub120;-0.002404757;Sad
sub120;-0.000780971;Neutral
sub122;0.000260591;Happy
sub122;-0.00077583;Sad
sub122;-0.000520948;Neutral
sub122;0.000260591;Happy
sub122;-0.00077583;Sad
sub122;-0.000520948;Neutral
sub123;-0.003535785;Happy
sub123;-0.001327393;Sad
sub123;4.11E-05;Neutral
sub123;-0.003535785;Happy
sub123;-0.001327393;Sad
sub123;4.11E-05;Neutral
sub124;0.001477009;Happy
sub124;-0.002002389;Sad
sub124;0.000285361;Neutral
sub124;0.001477009;Happy
sub124;-0.002002389;Sad
sub124;0.000285361;Neutral
sub125;0.000768474;Happy
sub125;-0.001278701;Sad
sub125;-0.001437191;Neutral
sub125;0.000768474;Happy
sub125;-0.001278701;Sad
sub125;-0.001437191;Neutral
sub126;-0.002442584;Happy
sub126;0.002005249;Sad
sub126;0.002170278;Neutral
sub126;-0.002442584;Happy
sub126;0.002005249;Sad
sub126;0.002170278;Neutral
sub127;0.001430175;Happy
sub127;-0.000545129;Sad
sub127;-0.001915238;Neutral
sub127;0.001430175;Happy
sub127;-0.000545129;Sad
sub127;-0.001915238;Neutral
sub128;0.000313989;Happy
sub128;-0.001493972;Sad
sub128;-0.006962907;Neutral
